against  bertentangan 	 
Feodor Mikhailovich Dostoyevsky ; Fyodor Mikhailovich Dostoyevsky ; Feodor 
Mikhailovich Dost Fyodor Dostoyevsky  person  Kyyiv ; Kiev ; capital of the Ukraine  Kiev  city  time zone  zona waktu 
UNIX ; UNIX system ; UNIX operating system 	 Unix 
peach 	 persik 
pearl 	 mutiara 
beacon ; light
; beacon light ; pharos  isyarat 
cholera ; Asiatic cholera ; Indian cholera ; epidemic cholera  kolera  one ; 1 ; i ; ane 	 satu  coin 	 koin  hero 	 pahlawan 
Lennon ; John Lennon  John Lennon 	 person  rectangle  segiempat  

Gandhi ; Indira Gandhi ; Indira Nehru Gandhi ; Mrs. Gandhi 	 Indira Gandhi  person 
United States dollar  Dolar Amerika Serikat 
Siberia  Siberia 
malaria  malaria  medicine 
Carter ; Jimmy Carter ; James Earl Carter ; James Earl Carter Jr. ; President 
Carter 	 Jimmy Carter 
Roman Empire 	 Kekaisaran Romawi  port 	 pelabuhan  
Adriatic ; Adriatic Sea 	 Laut Adriatik  concrete  beton 	 

real number ; real 	 bilangan riil  mathematics  integer ; whole number 	 bilangan bulat  mathematics  student ; pupil ; educatee  siswa 	 
submarine ; pigboat ; sub ; U-boat 	 kapal selam  accident  kecelakaan 	 

racism ; racialism ; racial discrimination 	 rasialisme 
English ; English language  Bahasa Inggris  clarinet  klarinet 
British pound ; pound ; British pound sterling ; pound sterling ; quid 	 pon  money 
cornet ; horn ; trumpet ; trump  terompet  
bat ; chiropteran 	 kelelawar  mammal 
hard disc ; hard disk ; fixed disk 	 cakram keras 	 computers  Cologne ; Koln  Köln  kelvin ; K 	 kelvin 
writer ; author  penulis 
Zagreb 	 Zagreb 
wage ; pay ; earnings ; remuneration ; salary  upah 	 
Ford ; Gerald Ford ; Gerald R. Ford ; Gerald Rudolph Ford ; President Ford  
Gerald Ford 
communication ; communicating 	 komunikasi 	 
calamity ; catastrophe ; disaster ; tragedy ; cataclysm  bencana  
strontium ; Sr ; atomic number 38  stronsium  
streetcar ; tram ; tramcar ; trolley ; trolley car  trem  fluorine ; F ; atomic number 9 	 fluor 	 

alcohol ; alcoholic drink ; alcoholic beverage ; intoxicant ; inebriant 	 alkohol 	 

Dominica ; Commonwealth of Dominica 	 Dominika  corridor  koridor 
Fermi ; Enrico Fermi  Enrico Fermi 	 person  cinnamon ; cinnamon bark 	 kayu manis  knight 	 ksatria 
Asimov ; Isaac Asimov  Isaac Asimov 	 person 
cigarette ; cigaret ; coffin nail ; butt ; fag 	 rokok 
Ljubljana  Ljubljana 
Saint Kitts and Nevis ; Federation of Saint Kitts and Nevis ; Saint ChristopherNevis ; St. Christopher-Nevis ; St. Kitts and Nevis  Saint Kitts dan Nevis  spectacles ; specs ; eyeglasses ; glasses 	 kacamata  banana 	 pisang 
bronze 	 perunggu  
rug ; carpet ; carpeting 	 permadani ; babut 	 
soldier  prajurit 
grandma ; grandmother ; granny ; grannie ; gran ; nan ; nanna  nenek ; andung 
Sartre ; Jean-Paul Sartre  Jean-Paul Sartre 	 person 
Conan Doyle ; A. Conan Doyle ; Arthur Conan Doyle ; Sir Arthur Conan Doyle  
Arthur Conan Doyle 	 person 
Hugo ; Victor Hugo ; Victor-Marie Hugo  Victor Hugo 	 person  musician ; instrumentalist ; player 	 musikus  volleyball ; volleyball game 	 bola voli  Java 	 Pulau Jawa  motorcycle ; bike 	 sepeda motor  snow 	 salju 
French ; French people 	 Bangsa Perancis 
pepper ; common pepper ; black pepper ; white pepper ; Madagascar pepper ; Piper nigrum 	 lada 
Belgrade ; Beograd ; capital of Serbia and Montenegro 	 Beograd  

cadaver ; corpse ; stiff ; clay ; remains 	 mayat 
de Gaulle ; General de Gaulle ; Charles de Gaulle ; General Charles de Gaulle ; Charles Andre Joseph Marie de Gaulle 	 charles de gaulle 	 person  Chaplin ; Charlie Chaplin ; Sir Charles Spencer Chaplin  Charlie Chaplin  person  plastic  plastik 
candle ; taper ; wax light  lilin 
Wilde ; Oscar Wilde ; Oscar Fingal O'Flahertie Wills Wilde 	 oscar wilde 
Locke ; John Locke 	 John Locke 	 person  xenon ; Xe ; atomic number 54 	 xenon 	 
Yugoslavia 	 Yugoslavia 
wild boar ; boar ; Sus scrofa 	 babi hutan 	 animal 
cellular telephone ; cellular phone ; cellphone ; cell ; mobile phone 	 telepon genggam  logistics 
Bayrut ; Beirut ; capital of Lebanon 	 Beirut 	 city 
Eisenhower ; Dwight Eisenhower ; Dwight D. Eisenhower ; Dwight David Eisenhower ; 
Ike ; President Eisenhower  Dwight D. Eisenhower  person 
fist ; clenched fist  tinju  monotheism 	 monoteisme 
World Health Organization ; WHO  Organisasi Kesehatan Dunia 
Tennessee ; Volunteer State ; TN  Tennessee 
atomic number  nomor atom 
tune ; melody ; air ; strain ; melodic line ; line ; melodic phrase  lagu 	 

harp  harpa  skull  tengkorak  anatomy 
koala ; koala bear ; kangaroo bear ; native bear ; Phascolarctos cinereus  koala  animal 
Ottoman Empire ; Turkish Empire  Kesultanan Utsmaniyah  beetle 	 kumbang  animal 
Minsk ; capital of Belarus  Minsk 	 

Charlemagne ; Carolus ; Charles ; Charles I ; Charles the Great 	 Charlemagne 
Jeanne d'Arc ; Joan of Arc ; Saint Joan  jeanne d'arc 
Ottawa ; Canadian capital ; capital of Canada  Ottawa 	 

Boston ; Hub of the Universe ; Bean Town ; Beantown ; capital of Massachusetts  
Boston 	 
parachute ; chute 	 parasut 
gravity ; gravitation ; gravitational attraction ; gravitational force 	 gravitasi  physics 
dragonfly ; darning needle ; devil's darning needle ; sewing needle ; snake feeder ; snake doctor ; mosquito hawk ; skeeter hawk  capung 	 
squirrel  tupai 	 
laser ; optical maser  laser 
baseball ; baseball game 	 baseball  sports 
Monroe ; Marilyn Monroe ; Norma Jean Baker 	 Marilyn Monroe  person  pi  pi  mathematics  big bang  big bang 
hydrocarbon  hidrokarbon  
adverb  adverbia  linguistics 
capacitor ; capacitance ; condenser ; electrical condenser 	 kapasitor  technology 
cock ; rooster  ayam jantan 	 technology 
hail 	 hujan 
programming language ; programing language 	 bahasa pemrograman 	 IT  Disney ; Walt Disney ; Walter Elias Disney 	 Walt Disney 	 person  terrorism ; act of terrorism ; terrorist act  terorisme  blanket ; cover  selimut 
Bohr ; Niels Bohr ; Niels Henrik David Bohr  Niels Bohr 	 person  amber 	 ambar 	 mineralogy 
Guadeloupe 	 Guadeloupe 
Havana ; capital of Cuba ; Cuban capital 	 Havana 	 city 
elbow ; elbow joint ; human elbow ; cubitus ; cubital joint ; articulatio cubiti  siku  anatomy 
people 	 orang-orang 	 
Man ; Isle of Man 	 Pulau Man  scorpion  kalajengking 	 animal  swimming ; swim  renang  national anthem  lagu kebangsaan  nobility ; aristocracy 	 ningrat 
politics ; political science ; government 	 ilmu politik  macroeconomics  ekonomi makro  economics  ash  abu  technology 
cheek 	 pipi 	 anatomy 
seashore ; coast ; seacoast ; sea-coast  pantai 
claw 	 cakar 
Naples ; Napoli  Napoli 
artery ; arteria ; arterial blood vessel 	 pembuluh nadi  anatomy  Genoa ; Genova  Genova 
beginning ; origin ; root ; rootage ; source  asal 	 
Mesopotamia 	 Mesopotamia 
husband ; hubby ; married man 	 suami 	 

engineer ; applied scientist ; technologist  insinyur  

Strasbourg ; Strassburg 	 Strasbourg  hunt ; hunting  pemburuan  Thuringia  Thüringen 
artificial intelligence ; AI 	 kecerdasan buatan 	 logistics  etymology  etimologi  linguistics 
tradition  tradisi 
A ; a 	 A 
Copernicus ; Nicolaus Copernicus ; Mikolaj Kopernik  Nikolaus Kopernikus  person 
priest 	 imam 
Valletta ; Valetta ; capital of Malta  Valletta  
avalanche  longsor salju  

lamp 	 lampu 	 

Red Sea  Laut Merah 
alkali metal ; alkaline metal 	 logam alkali 	 

treasure ; hoarded wealth  harta  legend ; fable  hikayat 
wife ; married woman  istri 	 

Trotsky ; Leon Trotsky ; Lev Davidovich Bronstein  Lev Trotski 	 person  hypertext transfer protocol ; HTTP 	 HTTP  subject ; topic ; theme 	 tema 	 
kilometer ; kilometre ; km ; klick 	 kilometer  oar  dayung 
eyebrow ; brow ; supercilium 	 alis 
bile ; gall 	 empedu 
Apollo ; Phoebus ; Phoebus Apollo  Apollo 	 mythology 
British Columbia 	 British Columbia  taxonomy  taksonomi  biology 
hazard ; jeopardy ; peril ; risk ; endangerment 	 bahaya 	 

New Orleans 	 New Orleans 
Osaka 	 Osaka 
Las Vegas  Las Vegas, Nevada  vinegar ; acetum 	 cuka 
Hitchcock ; Alfred Hitchcock ; Sir Alfred Hitchcock ; Alfred Joseph Hitchcock 	 Alfred Hitchcock  person 
feminist movement ; feminism ; women's liberation movement ; women's lib  feminisme 
besides ; too ; also ; likewise ; as well 	 juga 	 
abdomen ; venter ; stomach ; belly 	 perut 	 anatomy  cerium ; Ce ; atomic number 58 	 serium 	 
larceny ; theft ; thievery ; thieving ; stealing 	 pencurian  set  himpunan  
almond 	 badam 
Wilson ; Woodrow Wilson ; Thomas Woodrow Wilson ; President Wilson  Woodrow 
Wilson 	 person 
Rhine ; Rhine River ; Rhein  Rhein  chordate  chordata  samurai  samurai 
pea ; pea 
kacang polong  
saliva ; spit ; spittle 	 ludah  science fiction  fiksi ilmiah  videodisk ; videodisc ; DVD  dvd  land ; ground ; soil  tanah 	 
nest 	 sarang 	 

North Sea  Laut Utara  Kosovo 	 Kosovo 
ginger ; powdered ginger 	 jahe 
polygon ; polygonal shape  segi banyak 	 
transformer 	 transformator  electronics 
forest ; woodland ; timberland ; timber  hutan  arthropod  arthropoda 	 
flute ; transverse flute 	 suling  glacier  gletser  

Vivaldi ; Antonio Vivaldi ; Antonio Lucio Vivaldi  Antonio Vivaldi  person  methane series ; alkane series ; alkane ; paraffin series ; paraffin  alkana 	 

perfume ; essence 	 parfum 
Caracas ; capital of Venezuela 	 Caracas  city  midwife ; accoucheuse  bidan  cockroach ; roach 	 lipas 	 
supernova  supernova  astronomy  Ontario  Ontario 
potato ; white potato ; white potato vine ; Solanum tuberosum  kentang  ribonucleic acid ; RNA 	 asam ribonukleat 	 genetics  Amundsen ; Roald Amundsen  Roald Amundsen  person  speed of light ; light speed ; c  kecepatan cahaya  emerald  zamrud 
mapmaking ; cartography 	 pembuatan peta 
factory ; mill ; 

; manufactory  pabrik 	 
smoke ; smoking  asap 	 

experiment ; experimentation 	 percobaan  
cement 	 semen 	 

Atlanta ; capital of Georgia 	 Atlanta  
marble 	 marmer 
Andersen ; Hans Christian Andersen 	 Hans Christian Andersen 	 person  village ; small town ; settlement  desa 	 

Cervantes ; Miguel de Cervantes ; Cervantes Saavedra ; Miguel de Cervantes 
Saavedra  Miguel de Cervantes  person  Thales ; Thales of Miletus  Thales  architect ; designer  arsitek  
cabbage ; chou  kubis 	 

Nixon ; Richard Nixon ; Richard M. Nixon ; Richard Milhous Nixon ; President 
Nixon 	 Richard Nixon  person  bomb 	 bom  
story 	 cerita 
salmon 	 ikan salem 	 

Russell ; Bertrand Russell ; Bertrand Arthur William Russell ; Earl Russell 	 
Bertrand Russell  person 
accordion ; piano accordion ; squeeze box 	 akordeon  mushroom  jamur 	 biology  linguistics ; philology 	 filologi  ballet ; concert dance 	 balet 
paleontology ; palaeontology ; fossilology 	 paleontologi 	 biology 
ball ; globe ; orb 	 bulatan  

Mecca 	 Mekkah 
Solomon Islands  Kepulauan Solomon 
Singapore ; capital of Singapore  Singapura  

New Testament  Perjanjian Baru 
Roman alphabet ; Latin alphabet  Abjad Latin 
Lord's Prayer  doa bapa kami  metaphysics 	 metafisika 
cable ; line ; transmission line  kabel 	 
antimony ; Sb ; atomic number 51  antimon  
Warhol ; Andy Warhol  Andy Warhol 	 person 
Lima ; capital of Peru 	 Lima, Peru 	 city 
woodpecker ; peckerwood ; pecker  burung pelatuk  ornitology 
Saint Vincent and the Grenadines ; St. Vincent and the Grenadines 	 Saint 
Vincent dan Grenadines  consul 	 konsul  bull 	 banteng  finance  surgery  pembedahan 
Dickens ; Charles Dickens ; Charles John Huffam Dickens  Charles Dickens  person 
Bonn 	 Bonn 	 city 
statue 	 patung 
manganese ; Mn ; atomic number 25  mangan 	 

Lower Saxony 	 Niedersachsen 
Aachen ; Aken ; Aix-la-Chapelle  Aachen 	 city 
jazz 	 jazz 	 music 
coordinated universal time ; UTC  UTC  Marxism  Marxisme  epidemic  wabah 	 medicine  foam ; froth 	 busa 	 
birthday  hari ulang tahun 
Engels ; Friedrich Engels  Friedrich Engels 	 person  guilt ; guiltiness 	 rasa bersalah  law  quantum mechanics 	 mekanika kuantum  victory ; triumph 	 kemenangan  queen ; queen regnant ; female monarch  ratu 
ghost ; shade ; spook ; wraith ; specter ; spectre  hantu 
Verne ; Jules Verne  Jules Verne 	 person 
United Nations Children's Fund ; United Nations International Children's 
Emergency Fund ; UNICEF 	 Dana Anak-anak PBB 
primate  primata  

leech ; bloodsucker ; hirudinean  lintah 	 animal 
acceleration ; quickening ; speedup 	 percepatan  shrub ; bush 	 semak 	 

stove ; kitchen stove ; range ; kitchen range ; cooking stove  tungku  magnet 	 magnet 	 physics 
radon ; Rn ; atomic number 86 	 radon 	 
platinum ; Pt ; atomic number 78  platina  

Carthage  Kartago  city 
Sevilla ; Seville  Sevilla  city  dynamite  bahan peledak 
Confucius ; Kongfuze ; K'ung Futzu ; Kong the Master 	 Kong Hu Cu  timber wolf ; grey wolf ; gray wolf ; Canis lupus  serigala abu-abu 	 

Baku ; capital of Azerbaijan 	 Baku 	 city 
Protestantism  Protestanisme 
nothing ; nil ; nix ; nada ; null ; aught ; cipher ; cypher ; goose egg ; naught 
; zero ; zilch ; zip ; zippo  nol  sports 
charge ; electric charge 	 arus 	 
barium ; Ba ; atomic number 56 	 barium 	 

Panama Canal 	 Terusan Panama  person 
Voltaire ; Arouet ; Francois-Marie Arouet 	 Voltaire  person  program ; programme ; computer program ; computer programme 	 program  IT  election  pemilihan  mathematics 
hippopotamus ; hippo ; river horse ; Hippopotamus amphibius 	 kuda nil  

address  alamat 	 
Andalusia ; Andalucia  Andalusia  spear ; lance ; shaft  tombak 
World Trade Organization ; WTO 	 Organisasi Perdagangan Dunia 	 economics  physiology 	 fisiologi  biology  geophysics ; geophysical science  geofisika 
announcement ; proclamation ; annunciation ; declaration  pengumuman 
polonium ; Po ; atomic number 84  polonium  

Dubai 	 Dubai 	 city 
earthworm ; angleworm ; fishworm ; fishing worm ; wiggler ; nightwalker ; 
nightcrawler ; crawler ; dew worm ; red worm  cacing tanah 	 animal 
rich 	 kaya 	 logistics 
axiom 	 dalil 	 mathematics 
bathtub ; bathing tub ; bath ; tub 	 bak mandi  

caterpillar 	 ulat 	 

rational number ; rational  bilangan rasional 	 mathematics  fast 	 cepat 	 logistics 
ostrich ; Struthio camelus  burung unta 	 

oceanography ; oceanology  ilmu samudera 
Eden ; paradise ; nirvana ; heaven ; promised land ; Shangri-la 	 indah  prime number 	 bilangan prima  

transistor ; junction transistor ; electronic transistor  transistor 	 device 
Sarajevo  Sarajevo 
Holy Roman Empire 	 Kekaisaran Romawi Suci 
Bourgogne ; Burgundy  Bourgogne 
Hirohito ; Michinomiya Hirohito  Hirohito  person  nervous system ; systema nervosum  sistem saraf 
Ankara ; Turkish capital ; capital of Turkey ; Angora 	 Ankara 	 

semantics  semantik  linguistics  Gaza Strip ; Gaza 	 Jalur Gaza  syllable  suku kata  computers 
smallpox ; variola ; variola major 	 cacar 	 medicine  Bern ; Berne ; capital of Switzerland  Bern 	 
Tuscany ; Toscana 	 Toscana 
slang ; cant ; jargon ; lingo ; argot ; patois ; vernacular 	 slang  Alexandria ; El Iskandriyah  Iskandariyah 
gallium ; Ga ; atomic number 31  galium 	 

Feynman ; Richard Feynman ; Richard Phillips Feynman 	 Richard Feynman  person 
file transfer protocol ; FTP 	 ftp 
molybdenum ; Mo ; atomic number 42 	 molibdenum 	 
fireplace ; hearth ; open fireplace 	 perapian  
expensive  mahal 	 
vagina 	 vagina 	 

newton ; N 	 newton  monastery  biara 
Clemens ; Samuel Langhorne Clemens ; Mark Twain 	 Mark Twain 	 person 
Pyramid ; Great Pyramid ; Pyramids of Egypt  piramida  Astronomical Unit ; AU 	 Satuan astronomi  francium ; Fr ; atomic number 87  fransium  
monopoly  monopoli  
broom 	 sapu 	 device 
Mendeleyev ; Mendeleev ; Dmitri Mendeleyev ; Dmitri Mendeleev ; Dmitri Ivanovich Mendeleyev ; Dmitri Ivanovich Mendeleev  Dmitri Mendeleev 	 person  esophagus ; oesophagus ; gorge ; gullet  kerongkongan 	 biology  commerce ; commercialism ; mercantilism  perdagangan 	 
tractor  traktor  computers 
climatology 	 klimatologi 	 meteorology 
North Dakota ; Peace Garden State ; ND  Dakota Utara 
pronoun  kata ganti 	 linguistics 
grandfather ; gramps ; granddad ; grandad ; granddaddy ; grandpa 	 kakek  eel  belut 	 
sausage  sosis 
skeletal system ; skeleton ; frame ; systema skeletale  kerangka  biology  spinal column ; vertebral column ; spine ; backbone ; back ; rachis  tulang punggung  biology  yellow ; yellowness  kuning  limestone  gamping 
judo 	 judo 	 sports 
waiter ; server  pelayan 
Spielberg ; Steven Spielberg 	 Steven Spielberg 
occupation ; business ; job ; line of work ; line  pekerjaan  
vanadium ; V ; atomic number 23  vanadium  

Marshall Islands ; Republic of the Marshall Islands  Kepulauan Marshall 
Tirana ; Albanian capital  Tirana 	 city  lightning  kilat  weak 	 lemah 
Qatar ; State of Qatar ; Katar ; State of Katar 	 Qatar 
doctrine ; philosophy ; philosophical system ; school of thought ; ism 	 filosofi 
volume  isi  
moth  ngengat  

rye ; Secale cereale  gandum hitam  advice 	 nasihat  
octopus ; devilfish  gurita 	 

Augustine ; Saint Augustine ; St. Augustine ; Augustine of Hippo 	 Agustinus dari Hippo 
Riga ; capital of Latvia 	 Riga 	 
Herodotus  Herodotus 
homosexuality ; homosexualism ; homoeroticism ; queerness ; gayness  homoseksualitas 
uterus ; womb  rahim 	 biology 
lunch ; luncheon ; tiffin ; dejeuner 	 makan siang  rifle 	 senapan 
Saint Lucia ; St. Lucia 	 Saint Lucia  pill ; lozenge ; tablet ; tab 	 pil ; tablet  Polynesia  Polinesia 
benzene ; benzine ; benzol  benzena  
Shaw ; G. B. Shaw ; George Bernard Shaw  George Bernard Shaw  person  tunnel 	 terowongan 	 

King ; Martin Luther King ; Martin Luther King Jr.  Martin Luther King, Jr. 	 person 
ox  lembu jantan 	 
arrow 	 anak panah  Stonehenge 	 Stonehenge 
Virgil ; Vergil ; Publius Vergilius Maro 	 Publius Vergilius Maro 
Bretagne ; Brittany ; Breiz  Bretagne 
Verdi ; Giuseppe Verdi ; Guiseppe Fortunino Francesco Verdi 	 Giuseppe Verdi  person 
plaything ; toy  mainan  tower 	 menara  fossil 	 fosil 

; direction 	 bimbingan  

movie ; film ; picture ; moving picture ; moving-picture show ; motion picture ; motion-picture show ; picture show ; pic ; flick 	 film 	 

Euclid 	 Euklides  mathematics 
Nova Scotia 	 Nova Scotia 
Palestine ; Canaan ; Holy Land ; Promised Land 	 Palestina  snail 	 siput 	 
granite  granit 
hunger ; hungriness  kelaparan  coffin ; casket  peti mati  emperor  maharaja 
American Standard Code for Information Interchange ; ASCII 	 ASCII 	 IT  thirty ; 30 ; xxx 	 tiga puluh  antibiotic ; antibiotic drug 	 antibiotik  modem 	 modem 	 computers  dove 	 merpati 
hardware ; computer hardware 	 perangkat keras  IT 
Alberta  Alberta 
Tolstoy ; Leo Tolstoy ; Count Lev Nikolayevitch Tolstoy  Leo Tolstoy 	 person 
hectare  hektare  
eighties ; 1980s 	 1980-an  vehicle  kendaraan 
Cartier ; Jacques Cartier  Jacques Cartier  person  Poe ; Edgar Allan Poe  Edgar Allan Poe  person  diplomacy ; diplomatic negotiations 	 diplomasi  guest ; invitee  tamu 
proverb ; adage ; saw ; byword 	 pepatah  citizen  penduduk 
Vietnam War ; Vietnam  Perang Vietnam 
Dakar ; capital of Senegal  Dakar 	 city 
Rutherford ; Ernest Rutherford ; First Baron Rutherford ; First Baron Rutherford of Nelson  Ernest Rutherford 	 person 
noon ; twelve noon ; high noon ; midday ; noonday ; noontide  tengah hari  widow ; widow woman  janda  Old Testament  Perjanjian Lama 
